ratingValue,location,year,processedTitle,processedArticle,polarity,Sentiment
5,united kingdom,2023,pleasantly surprised,flown year read review preparation needle say boarded flight low expectation pleasantly surprised flight ok left lhr minute early arrived jnb ahead schedule cabin crew although good carrier attentive professional onboard catering disappointment unlucky miss chicken given sloppy pasta board entertainment never ba strong point sadly changed unfortunately prestigious carrier bad ( experience ) review suggest,-0.06555555555555556,Negative
1,switzerland,2023,buckle folk ; one rollercoaster,dear community feel compelled share utter frustration disappointment defined recent travel experience buckle folk ; one rollercoaster july displeasure flying let tell nightmare initial flight zurich ( zrh ) london ( lhr ) faced seemingly unavoidable onehour delay upon arrival lhr course resulted missing connection tokyo triggering automatic rescheduling flight tokyo ( hnd ) via beijing air china oh fun stop — flight ca also delayed turning hour delay grand total hour finally arriving tokyo instead promised cherry top four checkedin suitcase decided take detour join tokyo forcing waste additional two hour filling form baggage center finally got lost luggage back july make easy right wait return flight tokyo zurich ( ) august also danced delay tune making question punctuality myth cumulative impact delay torpedoed vacation plan stealing whole day scheduled activity including guided tokyo tour enough dig deeper pocket unforeseen expenses—extra airport transfer tour operator assistance fee emergency purchase airport meal international call rearrangement lack assistance lhr airport icing bitter cake installing app get basic information alternative connection flight hassle fact clerk could provide info person downright infuriating left sour taste mouth dent wallet here hoping take feedback seriously step game right good look frustrated fed bert,-0.006157635467980297,Negative
9,united kingdom,2023,cabin crew excellent,quick bag drop first wing many passenger use fast track security main terminal direct entry concorde room outside security south ate excellent breakfast served promptly concorde room nice place wait flight interesting memorabilia excellent bar boarding c gate disorganised slow board cabin crew excellent good choice beverage high quality food good seat comfortable first bedding provided time arrival miami baggage took hour arrive,0.4200000000000001,Positive
1,germany,2023,service level far worse ryanair,hour takeoff received mail stating cryptic message disruption expected limit many plane leave time capacity heathrow airport really hit surprise h departure anyhow took one hour delay forced check hand luggage travel hand luggage avoid waiting ultra slow processing checked luggage overall h later home planed really reason due incompetent people service level far worse ryanair triple price really never thanks nothing,-0.05192307692307692,Negative
3,united states,2023,upgrade member based status,recently delay bru lhr due staff shortage announced hour holding delay would board u immediately hope clearing gate leaving early wait full hour inside airplane plane old dirty power seat staff provided small bag pretzel ml water passenger hour delay hour flight option purchase food drink entertainment option available oneworld emerald elite member upgrade member based status first class lounge heathrow overcrowded understaffed poorly equipped help desk completely unhelpful error arises delay cancellation even top status avios point system devalued near worthlessness requires fee book reward nearly equal price revenue ticket lost way recent year moved worldclass airline budget airline much worse service timeliness ryanair easyjet,0.007812499999999993,Positive
1,australia,2023,absolutely hopeless airline,day flight advised cancelled asked u rebook flight hour hour original flight made u take one hour earlier original ticket ( return flight week later ) included checked bag arrive heathrow check told ticket included bag pay pound take explained original ticket bag checked system confirmed one would make effort sort told u pay would remove u flight choice pay thinking pretty easy get refund month email later still seen penny every time ask refund state long waiting get inane email saying department take longer others respond absolutely hopeless airline stuff booking first place even worse customer service even attempt solve problem check even could see mistake made system compounded unable investigate simple claim refund pound month,0.1138888888888889,Positive
1,romania,2023,cant imagine worst airline,booked flight bucharest manchester h layover heathrow flight delayed bucharest atc strike arrived heathrow minute later scheduled still enough time catch connecting flight unfortunately stranded plane waited long time disembark plane due lack staff slot shortage ( common problem heathrow ) missed connecting flight delay told wait night freezing airport first flight next day shameful £ food voucher joke considering ridiculous price lhr accommodation offered sleep cold airport asked compensation sent long text lame excuse sorry compensate anything cant imagine worst airline regarding customer care money rather way treat customer last time lifetime flying joke airline,-0.2348958333333333,Negative
8,united kingdom,2023,sufficient leg arm room,booked online month ago hitch replacement aircraft meaning chosen seat different informed prior departure could amend bag drop man smooth suspect man fault shuttle boarding slow delayed meaning rush lhr flight cpt full left le time cabin clean pe expected sufficient leg arm room plus little perk drink complaint seat actually recline far staff good first hour service especially george food quite tasty one option loaded breakfast also quite tasty landed time fly ointment case arrived late carousel later notice broken likely cpt pleasant surprise,0.10059523809523808,Positive
7,united kingdom,2023,crew polite,flight time crew polite story outward flight find europe generally pretty good though regret substituted prosecco champagne list drink buy economy many complaint airline revolve around lost luggage never check bag even long trip,0.21999999999999997,Positive
3,united kingdom,2023,stand basic,infrequent flyer always first choice reassurance comfort service quality luggage allowance etc fact never flown budget airline recent flight changed view cause reflect actually getting money flight around hour delayed way cabin ground staff service ok facility ( lack ) disappointed flight approx half hour thing offered half cup water poured bite sized banana slice cake fact return journey even offered water top longer medium screen select something pas time away even obligatory flight journey wifi poor even access shop however fee much available explains ba record profit £bn question paying sure opt budget airline transparent offer pay decide choose stand basic ill go elsewhere get basic cheaper,0.01190476190476191,Positive
